Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Source,EID,Reviewer,Reviewer Comments,Reviewer Decision
"Seita M., Lee S., Andrew S., Shinohara K., Huenerfauth M.",57192541826;57189050289;57220117831;16239695600;12240800100;,Remotely Co-Designing Features for Communication Applications using Automatic Captioning with Deaf and Hearing Pairs,2022,Conference on Human Factors in Computing Systems - Proceedings,,,460,,,,4.0,10.1145/3491102.3501843,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130526085&doi=10.1145%2f3491102.3501843&partnerID=40&md5=ad5bfc32c802d0a5b9bcc8307a75e775,"Deaf and Hard-of-Hearing (DHH) users face accessibility challenges during in-person and remote meetings. While emerging use of applications incorporating automatic speech recognition (ASR) is promising, more user-interface and user-experience research is needed. While co-design methods could elucidate designs for such applications, COVID-19 has interrupted in-person research. This study describes a novel methodology for conducting online co-design workshops with 18 DHH and hearing participant pairs to investigate ASR-supported mobile and videoconferencing technologies along two design dimensions: Correcting errors in ASR output and implementing notification systems for influencing speaker behaviors. Our methodological findings include an analysis of communication modalities and strategies participants used, use of an online collaborative whiteboarding tool, and how participants reconciled differences in ideas. Finally, we present guidelines for researchers interested in online DHH co-design methodologies, enabling greater geographically diversity among study participants even beyond the current pandemic. © 2022 ACM.",Accessibility; Automatic Speech Recognition; Deaf and Hard-of-Hearing; Participatory Design; Videoconferencing,Audition; Design; Online systems; Speech recognition; User interfaces; Automatic speech recognition; Co-designing; Co-designs; Codesign method; Communication application; Deaf and hard-of-hearing; Hard of hearings; Novel methodology; Participatory design; User experience research; Video conferencing,Conference Paper,Final,Scopus,2-s2.0-85130526085,Peter,,
"Colley M., Kränzle T., Rukzio E.",57202047826;57673606200;18233783900;,Accessibility-Related Publication Distribution in HCI Based on a Meta-Analysis,2022,Conference on Human Factors in Computing Systems - Proceedings,,,299,,,,,10.1145/3491101.3519701,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129770757&doi=10.1145%2f3491101.3519701&partnerID=40&md5=f8e976ace7ccc9d6f27da0bbc2e8d8c8,"Accessibility research aims to aid humans that experience minor or major disabilities and conditions. However, researchers might have limited exposure to certain disabilities, therefore, focus on those prevalent in their own lives. This work presents a script-based meta-analysis on addressed populations in accessibility research published on top Human-Computer Interaction (HCI) venues (3617 full papers). We categorize the publications regarding the involved people and their disabilities. We found that work on vision disability makes up for almost one third (28.85%) of the work published in general HCI. In light of these findings, we present possible conference-and funding-related explanatory approaches and argue that disability research could more reflect the prevalence of disabilities in the world. © 2022 Owner/Author.",Accessibility; overview; survey.,Publishing; Condition; Meta-analysis; Overview; Survey.; Human computer interaction,Conference Paper,Final,Scopus,2-s2.0-85129770757,Peter,,
"Luo L., Weng D., Songrui G., Hao J., Tu Z.",57212510914;24386043400;57673899900;57273470700;57212505490;,Avatar Interpreter: Improving Classroom Experiences for Deaf and Hard-of-Hearing People Based on Augmented Reality,2022,Conference on Human Factors in Computing Systems - Proceedings,,,318,,,,2.0,10.1145/3491101.3519799,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129730236&doi=10.1145%2f3491101.3519799&partnerID=40&md5=6debfc135d8c87f56824505c63801a0d,"Deaf and hard-of-hearing (DHH) people experience difficulties in accessing education. One reason is that they miss out on oral information in the classroom. Although some classrooms are equipped with sign language interpreters specifically for deaf students, DHH students have trouble switching their gaze and attention when they cannot see the interpreter and the visual information in the classroom simultaneously. To address this challenge, this paper develops Avatar Interpreter, a visual interface for synchronized sign language interpreters on an augmented reality head-mounted display. Avatar Interpreter can be displayed at different sizes and in different locations in space to fit different scenarios, helping deaf students to better receive sign language information and enhancing the classroom experience for deaf students. In the work presented in this paper, we discuss our prototype, make design recommendations, and discuss configuration and implementation. Finally, we propose questions and research methods for an upcoming user study. © 2022 ACM.",Accessibility; AR; Avatar; DHH; Sign Language,Audition; Helmet mounted displays; Students; Visual languages; AR; Avatar; Deaf and hard-of-hearing; Deaf students; Hard of hearings; Head-mounted-displays; Language interpreters; Sign language; Visual information; Visual Interface; Augmented reality,Conference Paper,Final,Scopus,2-s2.0-85129730236,Peter,,
"Li F.M., Lu C., Lu Z., Carrington P., Truong K.N.",57220116833;57219113508;57194274057;55926389800;7005764228;,An Exploration of Captioning Practices and Challenges of Individual Content Creators on YouTube for People with Hearing Impairments,2022,Proceedings of the ACM on Human-Computer Interaction,6,CSCW1,75,,,,3.0,10.1145/3512922,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127056360&doi=10.1145%2f3512922&partnerID=40&md5=93a2211b1f3ee956aa6cb8eeedcfbbb2,"Deaf and Hard-of-Hearing (DHH) audiences have long complained about caption qualities for many online videos created by individual content creators on video-sharing platforms (e.g., YouTube). However, there lack explorations of practices, challenges, and perceptions of online video captions from the perspectives of both individual content creators and DHH audiences. In this work, we first explore DHH audiences' feedback on and reactions to YouTube video captions through interviews with 13 DHH individuals, and uncover DHH audiences' experiences, challenges, and perceptions on watching videos created by individual content creators (e.g., manually added caption tags could create additional confidence and trust in caption qualities for DHH audiences). We then discover individual content creators' practices, challenges, and perceptions on captioning their videos (e.g., back-captioning problems) by conducting a YouTube video analysis with 189 captioning-related YouTube videos, followed by a survey with 62 individual content creators. Overall, our findings provide an in-depth understanding of captions generated by individual content creators and bridge the knowledge gap mutually between content creators and DHH audiences on captions. © 2022 Owner/Author.",accessibility; caption; content creators; deaf and hard-of-hearing; YouTube,Caption; Content creators; Deaf and hard-of-hearing; Hard of hearings; Hearing impairments; Online video; Sharing platforms; Video captions; Video sharing; YouTube; Audition,Article,Final,Scopus,2-s2.0-85127056360,Peter,,
"Pattemore A., Muñoz C.",57218417947;57200704773;,Captions and learnability factors in learning grammar from audio-visual input,2022,JALT CALL Journal,18,1,,83,109,,,10.29140/JALTCALL.V18N1.564,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132654753&doi=10.29140%2fJALTCALL.V18N1.564&partnerID=40&md5=573d9b1d87f5347fa0330afa1d5fadb2,"This study explores the effects of extensive audio-visual input with three captioning modes – unenhanced captions, textually enhanced captions, and no captions – on learning a variety of L2 grammatical constructions and examines the effects of three learnability factors: construction type, frequency, and recency. A total of 112 participants watched ten full-length TV series episodes over a period of five weeks. The study targeted 27 frequently occurring grammatical constructions categorized as fully-schematic, partially-filled, and fully-filled. The design included a pretest, an immediate posttest to measure the effects of recency, and a delayed posttest. The results indicated mixed effects of captioning: textually enhanced captions – a more salient condition – led to immediate learning outcomes while unenhanced captions resulted in higher long-term effects. A limit to the amount of different textually enhanced constructions presented in the input for effective learning is suggested. In general, unenhanced captions appear sufficient for successful grammar construction learning. © 2022. Anastasia Pattemore & Carmen Muñoz",Audio-visual input; captions; grammatical constructions; textual enhancement,,Article,Final,Scopus,2-s2.0-85132654753,Peter,,
Matthews N.,23767669600;,Commodifying Diversity in the Marketing of a Digital Hearing Start-Up,2022,Television and New Media,23,3,,312,328,,1.0,10.1177/15274764211009601,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104846260&doi=10.1177%2f15274764211009601&partnerID=40&md5=cc42511073b6cdf9a26ab164d9f3f012,"This article will unpack the consequences of the convergence between hearing aids and mobile phones. It deploys an analysis of the marketing of two hearing and communication apps from one start-up: a smartphone-based hearing test and a music app which tweaks users’ audio to accommodate their hearing profile. This article argues that both apps and the marketing for them can be seen as examples of biomediation. Rather than marketing hearing apps through biomedical categories to people who recognize themselves as disabled or “hearing impaired,” these apps are framed as personalizing music to fit a unique “earprint.” The article draws on two concepts used to understand this “disruption of the non-disabled/disabled binary” (Puar 2017, xvii, xviii): debility and diversity. Finally, the article offers a critical perspective on the political meanings of the term “diversity” and argues that the categorization of apps has important political consequences. © The Author(s) 2021.",apps; digital health; disability; hearing; marketing; mobile media,,Article,Final,Scopus,2-s2.0-85104846260,Peter,,
"Garcia F.E., de Almeida Neris V.P.",55802743300;23396897500;,A framework for tailorable games: toward inclusive end-user development of inclusive games,2022,Universal Access in the Information Society,21,1,,193,237,,3.0,10.1007/s10209-020-00779-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096399867&doi=10.1007%2fs10209-020-00779-8&partnerID=40&md5=f42d7eddfcabd87b01abb122687339e0,"One strategy toward universalizing play is enabling more people to develop their own games. In this paper, our efforts toward a framework for inclusive creation of inclusive games are discussed. The hypothesis is that if end-users used creation tools suitable to their interaction needs and followed a collaborative work model to iteratively improve accessibility features to be inserted into a software architecture able to modify human-computer interaction at use-time, then they would be able to create games satisfying heterogeneous interaction needs of possible players. To verify the hypothesis, the architecture, the collaborative work model, and a game creation platform (Lepi) were designed to support game creation and play activities. Abilities were focused to provide opportunities for contributions based on skills, interests, and knowledge of people. The framework was evaluated over ten meetings spanning four months by people with alcohol and drug addiction from a public healthcare service. With the framework, participants were able to create their own games despite their different interaction needs (including low literacy, no previous contact with computers, emotional disabilities). By following the collaborative work model, they enabled people with different interaction needs than their own to play their games. Hence, with the framework, opportunities were provided to enable people with different interaction needs to contribute, create, and play. Game creation became a jigsaw puzzle, on which each piece (contribution) allowed people to create and play according to their abilities and skills. © 2020, Springer-Verlag GmbH Germany, part of Springer Nature.",End-user development; Game accessibility; Game programming; Human-centered computing; Meta-design; Universal design,Human computer interaction; Alcohol and drugs; Collaborative Work; Emotional disability; End user development; Heterogeneous interactions; Jigsaw puzzles; Low literacies; Public healthcares; Computer games,Article,Final,Scopus,2-s2.0-85096399867,Peter,,
Adigun O.T.,57217036399;,The Experiences of Emergency-Remote Teaching Via Zoom: The Case of Natural-Science Teachers Handling of Deaf/Hard-of-Hearing Learners in South Africa,2022,"International Journal of Learning, Teaching and Educational Research",21,2,,176,194,,1.0,10.26803/ijlter.21.2.10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126817535&doi=10.26803%2fijlter.21.2.10&partnerID=40&md5=6906f6a0931247415f1cecf2e9b0d098,"Information regarding the e-teaching of science subjects to learners who are deaf or hard-of-hearing (LDHH) is somewhat scarce in the existing literature. The COVID-19 pandemic has, however, compelled all to adopt Information-Communication Technologies (ICTs) for teaching during this period. Lamentably, previous studies have advanced some of the challenges associated with teaching science to LDHH during online-science classes. While the pandemic has compelled remote teaching, there is a paucity of research evidence on the experiences of natural-science teachers handling of LDHH learners in emergency-remote teaching via Zoom. Therefore, anchored on the Use-and-Gratification Theory, this study has explored the emergency-remote teaching of natural sciences to deaf learners via Zoom during the pandemic. This study employed a qualitative research design, with seven natural science teachers as participants. The data were gathered via a semi-structured Zoom interview; and they were analysed by using thematic-content analysis. The findings revealed that while the participants appreciated the uninterrupted-learning model presented by ICTs, they had relatively awful experiences when teaching naturalscience subjects to LDHH via Zoom, due to inadequate organisational and individual preparedness, as well as to limited two-way teacher-learners’ communication and interactions. Based on the findings, the appropriate recommendations were made for both policy and practice. ©Author",Coronavirus disease; Learners who are deaf/hard-of-hearing; Natural sciences; Teachers; Zoom,,Article,Final,Scopus,2-s2.0-85126817535,Peter,,
"Lv J., Zhuang B., Chen X., Xue L., Li D.",57404871700;57404871800;57405522400;57405188500;35215276400;,Compositionality of the Constituent Characters in Chinese Two-Character-Word Recognition by Adult Readers of High and Low Chinese Proficiency,2022,Journal of Psycholinguistic Research,51,1,,195,216,,,10.1007/s10936-021-09833-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122535165&doi=10.1007%2fs10936-021-09833-9&partnerID=40&md5=c97550d3a532c8e81e1d318e2f237759,"In Chinese, the graphic units are Chinese characters, most of which are compound characters. Since a compound character can be different from another one in being regarded as composed of components (compositionality), readers might have developed a compositionality awareness of the constituent characters in two-character word (2C-word) recognition. Two experiments were conducted in a lexical decision task on the same set of 2C-words, the first constituent characters of which were manipulated in compositionality. Given that a Chinese character is more difficult to recognize when it is presented upside-down than when it is presented in an upright orientation and that it is inevitable to perceive the constituent characters in 2C-word recognition, we manipulated the first constituent characters’ presentation orientation to increase the task difficulty. The two constituent characters of a 2C-word target were displayed simultaneously in a trial in Experiment 1 but were shown sequentially in Experiment 2. Participants were two cohorts of adult Chinese native speakers (CNS1s and CNS2s). CNS1s had a significantly lower level of reading proficiency than CNS2s. The influence of orientation was observed in both CNS1s and CNS2s’ performance across the two experiments, but only CNS2s’ reaction times seemed to have indicated the effect of compositionality in Experiment 2. Skilled readers are more likely than less skilled readers to be conscious of compositionality of the first constituent characters, which are presented separately from the second ones, in 2C-word recognition. © 2022, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",Chinese proficiency; Compositionality; Constituent characters; Lexical decision; Two-character word recognition,"adult; China; human; pattern recognition; reaction time; reading; Adult; China; Humans; Pattern Recognition, Visual; Reaction Time; Reading; Recognition, Psychology",Article,Final,Scopus,2-s2.0-85122535165,Peter,,
"Ussenova M., Zhiyenbayeva N., Kosshygulova A., Iskakova L., Aigul S., Zhuzimkul B.",57221735349;57223025809;57298507900;57225892497;57454214800;57454214900;,Developing the social activities of primary school students with hearing impairment using technologies,2022,Cypriot Journal of Educational Sciences,17,1,,174,192,,,10.18844/cjes.v17i1.6700,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124655097&doi=10.18844%2fcjes.v17i1.6700&partnerID=40&md5=ea0476c8c9f8087a597744386bef87f9,"It is known that the use of technology to support individualization and motivation in education programs for hearing-impaired individuals has positive results. This research aims to reveal the views of teachers, students, and parents to develop the social activities of hearing-impaired students by supporting them with technology. This research was conducted with the phenomenology pattern, one of the qualitative research designs. Data were collected through semi-structured interview forms prepared separately for teachers, students, and parents. The participants of the study consisted of 20 primary school teachers, 20 hearing-impaired primary school students, and 20 parents of hearing-impaired students, who were working in various primary schools in Kazakhstan in the 2022-2023 academic year. As a result of the research, the majority of the participants believed the communication problems mostly faced by students with hearing impairment outweighed the psychological and school problems. The majority of the participants stated that the students were willing to participate in social activities if they were supported. © 2022 SciencePark Science, Organization and Counseling. All rights reserved.",Hearing impaired students; Social activity; Technology,,Article,Final,Scopus,2-s2.0-85124655097,Peter,,
"Fujiwara R.J.T., Ishiyama G., Ishiyama A.",57193456159;6602573696;7006190164;,Association of Socioeconomic Characteristics with Receipt of Pediatric Cochlear Implantations in California,2022,JAMA Network Open,5,1,43132,,,,2.0,10.1001/jamanetworkopen.2021.43132,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123440133&doi=10.1001%2fjamanetworkopen.2021.43132&partnerID=40&md5=30ff8f9cd8870c840f040ce8ccd6cccb,"Importance: Earlier cochlear implantation among children with bilateral severe to profound sensorineural hearing loss is associated with improved language outcomes. More work is necessary to identify patients at risk for delayed cochlear implantation and understand targets for interventions to improve cochlear implantation rates among children. Objective: To describe the demographics among children receiving cochlear implantations and variability in implantation rates in California and to investigate sociodemographic and parental factors associated with early pediatric cochlear implantation. Design, Setting, and Participants: This retrospective cross-sectional study was conducted using data from the Healthcare Cost and Utilization Project California State Ambulatory Surgery Database in calendar year 2018. Included patients were children aged 9 years old or younger undergoing cochlear implantation. Sociodemographic factors, location of treatment, and parental factors were collected. Data were analyzed from March through August 2021. Main Outcomes and Measures: Binary logistic regression was performed to investigate sociodemographic factors associated with early cochlear implantation (ie, before age 2 years). Geographic variability in pediatric cochlear implantation across hospital referral regions in California was described, and various parental factors associated with implantation before age 2 years were analyzed. Results: Among 182 children receiving cochlear implantations, the median (IQR) age was 3 (1-5) years and 58 children (31.9%) received implantations at ages 2 years or younger. There were 90 girls (49.5%) and 92 boys (50.5%), and among 170 children with race and ethnicity data, there were 27 Asian or Pacific Islander children (15.9%), 63 Hispanic children (37.1%), and 55 White children (32.4%). The risk of CI was significantly decreased among Black children compared with Asian or Pacific Islander children (relative risk [RR], 0.18 [95% CI, 0.07-0.47]; P =.001) and White children (RR, 0.24 [95% CI, 0.10-0.59]; P =.002) and among Hispanic children compared with Asian or Pacific Islander children (RR, 0.32 [95% CI, 0.21-0.50]; P <.001) and White children (RR, 0.42 [95% CI, 0.29-0.59; P <.001). Compared with private insurance, Medicaid insurance was associated with decreased odds of implantation at ages 2 years or younger (odds ratio [OR], 0.19 [95% CI, 0.06-0.64]; P =.007), and every 1 percentage point increase in maternal high school completion percentage in a given California hospital referral region was correlated with a 5-percentage point increase in percentage of cochlear implants performed at age 2 years or younger (b = 5.18 [95% CI, 1.34-9.02]; P =.008). There were no significant differences in rates of early implantation by race or ethnicity. Conclusions and Relevance: This study found significant variability in pediatric cochlear implantation rates in California. These findings suggest that socioeconomic and parental factors may be associated with differences in access to early cochlear implantation and suggest the need to invest in initiatives to address barriers to appropriate and timely access to care. © 2022 American Medical Association. All rights reserved.",,"age; Article; Asian; Black person; California; Caucasian; child; child parent relation; cochlear implantation; correlation analysis; cross-sectional study; demography; education; ethnicity; female; geography; health care access; health care cost; health care disparity; high school; Hispanic; hospital; human; incidence; major clinical study; male; medicaid; odds ratio; Pacific Islander; parent; patient referral; pediatric patient; perception deafness; preschool child; private health insurance; race; retrospective study; risk factor; school child; sociodemographics; statistical analysis; adult; California; cochlear implantation; economics; ethnology; health insurance; infant; patient attitude; perception deafness; socioeconomics; statistical model; United States; Adult; California; Child; Child, Preschool; Cochlear Implantation; Cross-Sectional Studies; Ethnicity; Female; Healthcare Disparities; Hearing Loss, Sensorineural; Humans; Infant; Insurance, Health; Logistic Models; Male; Medicaid; Odds Ratio; Parents; Patient Acceptance of Health Care; Retrospective Studies; Socioeconomic Factors; United States",Article,Final,Scopus,2-s2.0-85123440133,Peter,,
"Kruger J.-L., Wisniewska N., Liao S.",9277428700;57215862601;57203968644;,Why subtitle speed matters: Evidence from word skipping and rereading,2022,Applied Psycholinguistics,43,1,,211,236,,3.0,10.1017/S0142716421000503,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120630460&doi=10.1017%2fS0142716421000503&partnerID=40&md5=3dc2279acd4cb295a837cdd1087bd5b2,"High subtitle speed undoubtedly impacts the viewer experience. However, little is known about how fast subtitles might impact the reading of individual words. This article presents new findings on the effect of subtitle speed on viewers' reading behavior using word-based eye-tracking measures with specific attention to word skipping and rereading. In multimodal reading situations such as reading subtitles in video, rereading allows people to correct for oculomotor error or comprehension failure during linguistic processing or integrate words with elements of the image to build a situation model of the video. However, the opportunity to reread words, to read the majority of the words in the subtitle and to read subtitles to completion, is likely to be compromised when subtitles are too fast. Participants watched videos with subtitles at 12, 20, and 28 characters per second (cps) while their eye movements were recorded. It was found that comprehension declined as speed increased. Eye movement records also showed that faster subtitles resulted in more incomplete reading of subtitles. Furthermore, increased speed also caused fewer words to be reread following both horizontal eye movements (likely resulting in reduced lexical processing) and vertical eye movements (which would likely reduce higher-level comprehension and integration). Copyright © The Author(s), 2021. Published by Cambridge University Press.",Keywords: eye movements; linguistic processing; rereading; subtitle reading; subtitle speed; word skipping,,Article,Final,Scopus,2-s2.0-85120630460,Peter,,
"Im M.S., Park H.",58097374100;57071908700;,A Qualitative Study on the Communication Experiences and Effective Communication Strategies of Adults with Cochlear Implants [인공와우 이식 성인의 의사소통 경험 및 효과적인 의사소통 전략에 관한 질적 연구],2022,Communication Sciences and Disorders,27,4,,925,943,,,10.12963/CSD.22938,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147764909&doi=10.12963%2fCSD.22938&partnerID=40&md5=acbd50cbea9a5dbd8409bc8abd1dfc63,"Objectives: This study aimed to demonstrate the nature and significance of the communication experiences encountered by adults with cochlear implants in the course of their social lives, and to explore effective communication strategies for the same. Methods: Data was collected via one-on-one in-depth interviews with five adults with cochlear implants, then analyzed through the Colaizzi phenomenological methodology. Results: First, the communication experiences of participants were categorized into the two themes of negative and positive experiences, with eight resultant sub-themes. The negative experiences consisted of “emotional distance,” “a lonely island in the crowd,” “difficulties that are not resolved,” and “facing communication barriers,” while positive experiences comprised “climbing the hill of maturity,” “gratitude toward good and beautiful encounters,” “the joy of managing to do my share,” and “the dreams one sets out to realize in their youth.” Next, effective communication strategies were categorized into the two themes of strategies for continuing communication and strategies for overcoming breakdowns in communication, with nine resultant sub-themes. Strategies for continuing communication included “structuralizing situations” and “enthusiastic attitudes,” while strategies for overcoming breakdowns in communication included “recepting through the use of tools” and “expressing oneself to the end.” Conclusion: The participants in this study face restricted situations due to their hearing impairments, but grow through dynamic interaction with society, and continuously employed effective communication strategies to respond efficiently to social situations. Principal factors to be considered and future service strategies for aiding unhindered communication for the hearing-impaired were discussed based on the results of the study © 2022 Korean Academy of Speech-Language Pathology and Audiology",Adult; Cochlear implant; Communication experience; Communication strategies; Hearing impairment,,Article,Final,Scopus,2-s2.0-85147764909,Peter,,
"Mulyani, Yusuf Y.Q., Trisnawati I.K., Syarfuni, Qamariah H., Wahyuni S.",58092816300;55351138500;57219709254;57218888655;57218559998;57218552261;,Watch and Learn: EFL Students' Perceptions of Video Clip Subtitles for Vocabulary Instruction,2022,Pertanika Journal of Social Sciences and Humanities,30,,,1,23,,,10.47836/PJSSH.30.S1.01,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147493079&doi=10.47836%2fPJSSH.30.S1.01&partnerID=40&md5=adc26dc318063769250400df3ccf0cb2,"Implementing the online learning process requires qualified EFL teachers as agents of change to get hold of effective learning resources to help students achieve learning goals. This pilot study explores EFL students' perceptions from two private Islamic senior high schools in urban areas in Aceh Province, Indonesia, towards using video clips with subtitles (bimodal of English-Indonesian) while learning English in the classroom. The study applied the mixed-methods design by disseminating a questionnaire to 78 participants and conducting a semi-structured interview with ten selected participants. Findings revealed that most students positively perceived using subtitled video clips in learning English vocabulary. However, some encountered setbacks in learning English words due to the poor use of the elements in the video clip subtitles. Therefore, the subtitling procedures still need revisiting to assist students better in digesting subtitled movies in a more well-organized manner. © Universiti Putra Malaysia Press.",EFL students; English vocabulary; prototype media; subtitles; video clips,,Article,Final,Scopus,2-s2.0-85147493079,Peter,,
"Lawi F.A., Al-Salman S., Haider A.S.",58088052800;57961473200;57201379366;,Modern Standard Arabic vs. Egyptian Vernacular in Dubbing Animated Movies: A Case Study of A Bug's Life,2022,International Journal of Communication and Linguistic Studies,21,1,,125,141,,,10.18848/2327-7882/CGP/v21i01/125-141,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147260630&doi=10.18848%2f2327-7882%2fCGP%2fv21i01%2f125-141&partnerID=40&md5=3123c66ba0b0e4288e077a3f2cea3f10,"This study investigates the use of the two varieties of Arabic, namely Modern Standard Arabic (MSA) and the Egyptian vernacular (EV), in dubbing animated movies in the Arab world. The corpus of the study consists of the original English dialogue and the two dubbed Arabic versions of the movie “A Bug's Life.” The corpus was analyzed both qualitatively and quantitatively. In the qualitative analysis, the Arabic scripts of the MSA and EV versions were examined to spot the differences between the two rendered translations. This was realized by using corpus manager and text analysis software. For the quantitative analysis, a questionnaire was used as a data-collection instrument to elicit the participants' reactions to the two varieties of Arabic. Quantitatively, the results showed that the participants were more in favor of the animations dubbed in the EV version than in the MSA one. The qualitative analysis showed that the quality of the EV dubbed version is better than its MSA counterpart, both linguistically and technically. The current study is quite significant as it probes into an important aspect of the audiovisual translation (AVT) domains, namely dubbing, which has gained great popularity in the Arab world in the last two decades. Finally, the study provides some implications and recommendations for further research on dubbing animated works. © Common Ground Research Networks, Farah Abu Lawi, Saleh Al-Salman, Ahmad S. Haider, All Rights Reserved.",Animated Movies; AVT; Dubbing; Egyptian Vernacular; MSA,,Article,Final,Scopus,2-s2.0-85147260630,Peter,,
"Kamath S.S., Martin A., Poojary R.",57477559900;58067662200;57190336014;,Effectuating Communication for the Deaf and Hard-of-Hearing: An Ethnographic Review,2022,"2022 International Conference on Electrical and Computing Technologies and Applications, ICECTA 2022",,,,80,83,,,10.1109/ICECTA57148.2022.9990196,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146367302&doi=10.1109%2fICECTA57148.2022.9990196&partnerID=40&md5=62cf2a02e12bc719f7e346d7c72fad1e,"The Deaf and Hard-of-Hearing constitute a significant populace, raising the need for technology, which is becoming ubiquitous in the world, to become more accessible for them. This paper enlists recent efforts and research popular in the accessibility sphere for the DHH and asks research questions based on the review. The DHH Demographic are scattered around the world, and while there exists an International Sign Language, people tend to utilize their regional versions of the Sign Language, impeding solidarity. Systems, representations, and interpretations of the different Sign Languages are divergent. Hence, this paper examines research done solely in the sphere of different renditions of the Sign Language. This paper also discerns certain challenges and suggests how technology can work towards accurate interpretation and communication for the DHH. The use of Computer Vision and Deep Learning Algorithms is especially prevalent in current research, and this paper focuses on identifying some novel frameworks and procedures which have varied and deep applications in the accessibility sphere, not just for the DHH. The purpose of this review paper is to understand current research methods and encourage collaboration of version-specific researchers to further and ameliorate research. © 2022 IEEE.",Accessibility; Computer Vision; Deaf and Hard-of-Hearing (DHH); Human-Computer Interaction; Sign Language,Audition; Computer vision; Deep learning; Human computer interaction; 'current; Accessibility; Deaf and hard-of-hearing; Divergents; Hard of hearings; Research method; Research questions; Review papers; Sign language; System representation; Spheres,Conference Paper,Final,Scopus,2-s2.0-85146367302,Peter,,
"Glorioso I.G., Arevalo S.F.Q., Decena M.B.S., Jolejole T.K.B., Gonzales M.S.",57209053782;58065085100;58066050600;58065218800;57209053690;,Developing and pre-testing of nutrition cartoon video to promote healthy eating among hearing and deaf and mute children,2022,Malaysian Journal of Nutrition,28,3,,409,422,,,10.31246/mjn-2021-0127,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146263063&doi=10.31246%2fmjn-2021-0127&partnerID=40&md5=c78f94590234e30dfae974d87b515c39,"Introduction: A six-minute nutrition cartoon video “The Magical Pinggang Pinoy in Nutrilandia” was developed and pre-tested to encourage hearing and deaf and mute children to eat a variety of foods by following the Pinggang Pinoy® (Healthy Plate). This study described the development process of the nutrition cartoon video and explored the participants’ acceptance towards it. Methods: The video underwent two levels of pre-testing to ensure comprehensibility, attractiveness, acceptability, and self-involvement. The first level was conducted among three DOST-FNRI experts, while the second level was among six deaf-mute school teachers and 30 mothers/ caregivers of 6-9 years old hearing children. Data were collected through an online self-administered questionnaire. Open-ended questions allowed participants to express themselves freely on the given subjects. Data analysis used thematic analysis. Results: The video conveyed clear information on the Pinggang Pinoy®, and the inclusion of animation, subtitles, visuals, and voice-over made the video easier to understand. Participants stated that the message of the video was directed to children, teens, adults, malnourished people, and everyone in general. Pre-testing the nutrition cartoon video before final production identified terminologies and concepts that participants found unfamiliar, confusing and unacceptable; offered suggestions for improvement and made pre-tested video appropriate for hearing and deaf-mute children. Conclusion: Overall, the participants had positive perceptions on the nutrition cartoon video. The video can be used in nutrition education classes among hearing and deaf and mute children, and serves as a tool to measure children’s nutrition knowledge on healthy eating. © 2022, Malaysian Journal of Nutrition. All Rights Reserved.",Cartoon video; Healthy eating; Hearing and deaf and mute children; Nutrition education; Pre-testing,,Article,Final,Scopus,2-s2.0-85146263063,Peter,,
